burn_area_forecast,lon,lat,area,date
0.0,18.05204195,-3.9940022269999997,2,2023-10-01
0.0,18.05204195,-3.9940022269999997,2,2023-11-01
0.0,18.05204195,-3.9940022269999997,2,2023-12-01
1.4968436430638376e-05,18.05204195,-3.9940022269999997,2,2024-01-01
0.00020370341790091001,18.05204195,-3.9940022269999997,2,2024-02-01
0.007024728415971322,18.05204195,-3.9940022269999997,2,2024-03-01
0.0013143208519987915,18.05204195,-3.9940022269999997,2,2024-04-01
0.004774765148898552,18.05204195,-3.9940022269999997,2,2024-05-01
0.03514388873562151,18.05204195,-3.9940022269999997,2,2024-06-01
0.014035548267424309,18.05204195,-3.9940022269999997,2,2024-07-01
0.03355021532150073,18.05204195,-3.9940022269999997,2,2024-08-01
0.006422699191313622,18.05204195,-3.9940022269999997,2,2024-09-01
0.0,18.05204195,-3.9940022269999997,2,2024-10-01
0.0,18.05204195,-3.9940022269999997,2,2024-11-01
0.0,18.05204195,-3.9940022269999997,2,2024-12-01
1.4403833073918088e-05,18.05204195,-3.9940022269999997,2,2025-01-01
0.00019601818766955175,18.05204195,-3.9940022269999997,2,2025-02-01
0.006747074923604381,18.05204195,-3.9940022269999997,2,2025-03-01
0.0012649651367122395,18.05204195,-3.9940022269999997,2,2025-04-01
0.004742547606146286,18.05204195,-3.9940022269999997,2,2025-05-01
0.03526810662696428,18.05204195,-3.9940022269999997,2,2025-06-01
0.01397809796121544,18.05204195,-3.9940022269999997,2,2025-07-01
0.033412959587709935,18.05204195,-3.9940022269999997,2,2025-08-01
0.006410030849315885,18.05204195,-3.9940022269999997,2,2025-09-01
0.0,18.05204195,-3.9940022269999997,2,2025-10-01
0.0,18.05204195,-3.9940022269999997,2,2025-11-01
0.0,18.05204195,-3.9940022269999997,2,2025-12-01
1.4583868747889281e-05,18.05204195,-3.9940022269999997,2,2026-01-01
0.0001984687852224314,18.05204195,-3.9940022269999997,2,2026-02-01
0.006835610588569445,18.05204195,-3.9940022269999997,2,2026-03-01
0.0012807032462367049,18.05204195,-3.9940022269999997,2,2026-04-01
5.935966854184273e-14,18.64830856,-0.497561545,3,2021-05-01
0.0,18.64830856,-0.497561545,3,2021-06-01
0.00020220337052583547,18.64830856,-0.497561545,3,2021-07-01
0.0,18.64830856,-0.497561545,3,2021-08-01
3.2292384979583555e-21,18.64830856,-0.497561545,3,2021-09-01
0.0,18.64830856,-0.497561545,3,2021-10-01
1.2810806134292019e-20,18.64830856,-0.497561545,3,2021-11-01
9.22623025498632e-22,18.64830856,-0.497561545,3,2021-12-01
1.8000376196656324e-20,18.64830856,-0.497561545,3,2022-01-01
0.0,18.64830856,-0.497561545,3,2022-02-01
3.443512870864143e-20,18.64830856,-0.497561545,3,2022-03-01
0.002864528435416631,18.64830856,-0.497561545,3,2022-04-01
0.0,18.64830856,-0.497561545,3,2022-05-01
0.0,18.64830856,-0.497561545,3,2022-06-01
0.00010077533054251524,18.64830856,-0.497561545,3,2022-07-01
0.0,18.64830856,-0.497561545,3,2022-08-01
1.6094072826733718e-21,18.64830856,-0.497561545,3,2022-09-01
0.0,18.64830856,-0.497561545,3,2022-10-01
6.38472652232277e-21,18.64830856,-0.497561545,3,2022-11-01
4.59822406119983e-22,18.64830856,-0.497561545,3,2022-12-01
8.971135626425629e-21,18.64830856,-0.497561545,3,2023-01-01
0.0,18.64830856,-0.497561545,3,2023-02-01
1.7161989683710423e-20,18.64830856,-0.497561545,3,2023-03-01
0.001427552524856555,18.64830856,-0.497561545,3,2023-04-01
2.968682842545325e-14,18.64830856,-0.497561545,3,2023-05-01
0.0,18.64830856,-0.497561545,3,2023-06-01
0.0001516564136633498,18.64830856,-0.497561545,3,2023-07-01
0.0,18.64830856,-0.497561545,3,2023-08-01
2.4219909302872705e-21,18.64830856,-0.497561545,3,2023-09-01
0.0,18.64830856,-0.497561545,3,2023-10-01
9.608350787678552e-21,18.64830856,-0.497561545,3,2023-11-01
6.919849992929477e-22,18.64830856,-0.497561545,3,2023-12-01
1.3500628063107541e-20,18.64830856,-0.497561545,3,2024-01-01
0.0,18.64830856,-0.497561545,3,2024-02-01
2.5827009954532736e-20,18.64830856,-0.497561545,3,2024-03-01
0.0021484073373903264,18.64830856,-0.497561545,3,2024-04-01
1.4704131168003742e-14,18.64830856,-0.497561545,3,2024-05-01
0.0,18.64830856,-0.497561545,3,2024-06-01
0.00012613206536701068,18.64830856,-0.497561545,3,2024-07-01
0.0,18.64830856,-0.497561545,3,2024-08-01
2.0143606918561167e-21,18.64830856,-0.497561545,3,2024-09-01
0.0,18.64830856,-0.497561545,3,2024-10-01
7.991228991547225e-21,18.64830856,-0.497561545,3,2024-11-01
5.755213053999699e-22,18.64830856,-0.497561545,3,2024-12-01
1.1228421272915166e-20,18.64830856,-0.497561545,3,2025-01-01
0.0,18.64830856,-0.497561545,3,2025-02-01
2.1480227578417318e-20,18.64830856,-0.497561545,3,2025-03-01
0.0017867926040225507,18.64830856,-0.497561545,3,2025-04-01
2.2220157945723204e-14,18.64830856,-0.497561545,3,2025-05-01
0.0,18.64830856,-0.497561545,3,2025-06-01
0.0001389362809220459,18.64830856,-0.497561545,3,2025-07-01
0.0,18.64830856,-0.497561545,3,2025-08-01
2.218847222880619e-21,18.64830856,-0.497561545,3,2025-09-01
0.0,18.64830856,-0.497561545,3,2025-10-01
8.802453466938865e-21,18.64830856,-0.497561545,3,2025-11-01
